[2026-08-18T18:37:18.400+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-08-18T18:37:18.413+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-08-18T18:37:02.256514+00:00 [queued]>
[2026-08-18T18:37:18.421+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-08-18T18:37:02.256514+00:00 [queued]>
[2026-08-18T18:37:18.423+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2026-08-18T18:37:18.895+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 10H_zj7AxjY
[2026-08-18T18:37:18.899+0000] {data_modification.py:83} INFO - Updated row with Video_ID: frOe2Vt9NeA
[2026-08-18T18:37:18.903+0000] {data_modification.py:83} INFO - Updated row with Video_ID: UVkmS2WTfFo
[2026-08-18T18:37:18.907+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 02ZN57630Xg
[2026-08-18T18:37:18.911+0000] {data_modification.py:83} INFO - Updated row with Video_ID: BZg2howReh0
[2026-08-18T18:37:18.914+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9IxevWyzIhM
[2026-08-18T18:37:18.919+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Y_VOz_0Nhyc
[2026-08-18T18:37:18.923+0000] {data_modification.py:83} INFO - Updated row with Video_ID: H8VLl6Y77NQ
[2026-08-18T18:37:18.926+0000] {data_modification.py:83} INFO - Updated row with Video_ID: CNCZGwqqSYI
[2026-08-18T18:37:18.930+0000] {data_modification.py:83} INFO - Updated row with Video_ID: t8sS6Lk3cYo
[2026-08-18T18:37:18.933+0000] {data_modification.py:83} INFO - Updated row with Video_ID: IT0AX-JkvQ0
[2026-08-18T18:37:18.940+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 5UTkieEX-bA
[2026-08-18T18:37:18.945+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Msu7c9K-WN4
[2026-08-18T18:37:18.949+0000] {data_modification.py:83} INFO - Updated row with Video_ID: jr0k_fOR1b0
[2026-08-18T18:37:18.953+0000] {data_modification.py:83} INFO - Updated row with Video_ID: YuccTqzNkLY
[2026-08-18T18:37:18.957+0000] {data_modification.py:83} INFO - Updated row with Video_ID: MPFrgj5iRfs
[2026-08-18T18:37:18.961+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 2xVJvDR2Aco
[2026-08-18T18:37:18.964+0000] {data_modification.py:83} INFO - Updated row with Video_ID: pdOgW7mFgHo
[2026-08-18T18:37:18.969+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 6FNRVY2vYXw
[2026-08-18T18:37:18.972+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rQ-OVYSPAAQ
[2026-08-18T18:37:18.976+0000] {data_modification.py:83} INFO - Updated row with Video_ID: uokt0pavxhM
[2026-08-18T18:37:18.980+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 00jncbQz5QM
[2026-08-18T18:37:18.985+0000] {data_modification.py:83} INFO - Updated row with Video_ID: UCSwVvqO6mk
[2026-08-18T18:37:18.991+0000] {data_modification.py:83} INFO - Updated row with Video_ID: lacFcgcHx6I
[2026-08-18T18:37:18.995+0000] {data_modification.py:83} INFO - Updated row with Video_ID: saxSOiLxpBs
[2026-08-18T18:37:19.000+0000] {data_modification.py:83} INFO - Updated row with Video_ID: LxKB2UJipQw
[2026-08-18T18:37:19.005+0000] {data_modification.py:83} INFO - Updated row with Video_ID: sGpc8-f2e8U
[2026-08-18T18:37:19.010+0000] {data_modification.py:83} INFO - Updated row with Video_ID: sdMHVIcPGwg
[2026-08-18T18:37:19.013+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9uUl6m0J9dg
[2026-08-18T18:37:19.017+0000] {data_modification.py:83} INFO - Updated row with Video_ID: q7L3qN_ucvQ
[2026-08-18T18:37:19.021+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rdbtGeMVL_o
[2026-08-18T18:37:19.025+0000] {data_modification.py:83} INFO - Updated row with Video_ID: m7v7KLttM3k
[2026-08-18T18:37:19.029+0000] {data_modification.py:83} INFO - Updated row with Video_ID: USQpt4uF85w
[2026-08-18T18:37:19.032+0000] {data_modification.py:83} INFO - Updated row with Video_ID: SysG5lgX91Y
[2026-08-18T18:37:19.036+0000] {data_modification.py:83} INFO - Updated row with Video_ID: kKNoBH0iE1k
[2026-08-18T18:37:19.040+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Tzd6exIs-aw
[2026-08-18T18:37:19.044+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 8lRWZWacczA
[2026-08-18T18:37:19.048+0000] {data_modification.py:83} INFO - Updated row with Video_ID: fHBcc2oAcJU
[2026-08-18T18:37:19.052+0000] {data_modification.py:83} INFO - Updated row with Video_ID: phCov5GMOl4
[2026-08-18T18:37:19.055+0000] {data_modification.py:83} INFO - Updated row with Video_ID: wv36G-Cfc4U
[2026-08-18T18:37:19.059+0000] {data_modification.py:83} INFO - Updated row with Video_ID: JO-LZtQjwtQ
[2026-08-18T18:37:19.062+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9QTNP99Sj6Q
[2026-08-18T18:37:19.066+0000] {data_modification.py:83} INFO - Updated row with Video_ID: yW7uUoCrZFM
[2026-08-18T18:37:19.070+0000] {data_modification.py:83} INFO - Updated row with Video_ID: bRR9Hzi60YA
[2026-08-18T18:37:19.074+0000] {data_modification.py:83} INFO - Updated row with Video_ID: F0Krcd6kUNU
[2026-08-18T18:37:19.077+0000] {data_modification.py:83} INFO - Updated row with Video_ID: _wxlPGDLIE8
[2026-08-18T18:37:19.081+0000] {data_modification.py:83} INFO - Updated row with Video_ID: NuBo8fvnYw0
[2026-08-18T18:37:19.084+0000] {data_modification.py:83} INFO - Updated row with Video_ID: D1aX4l3VMpE
[2026-08-18T18:37:19.088+0000] {data_modification.py:83} INFO - Updated row with Video_ID: KstXIeCUo5k
[2026-08-18T18:37:19.092+0000] {data_modification.py:83} INFO - Updated row with Video_ID: disBIEWq5Jo
[2026-08-18T18:37:19.095+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ZsPygh37hpw
[2026-08-18T18:37:19.098+0000] {data_modification.py:83} INFO - Updated row with Video_ID: MmMcs34BGQQ
[2026-08-18T18:37:19.102+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Zmz5gE9nJqY
[2026-08-18T18:37:19.106+0000] {data_modification.py:83} INFO - Updated row with Video_ID: LBuUrYKQs1A
[2026-08-18T18:37:19.109+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 6-tpoSaxH1E
[2026-08-18T18:37:19.113+0000] {data_modification.py:83} INFO - Updated row with Video_ID: u6Y0S1ZzyrE
[2026-08-18T18:37:19.116+0000] {data_modification.py:83} INFO - Updated row with Video_ID: axkyLmRS3mw
[2026-08-18T18:37:19.120+0000] {data_modification.py:83} INFO - Updated row with Video_ID: DTM6Rpq4lIc
[2026-08-18T18:37:19.124+0000] {data_modification.py:83} INFO - Updated row with Video_ID: FXPPMHDWMDM
[2026-08-18T18:37:19.128+0000] {data_modification.py:83} INFO - Updated row with Video_ID: N6FLYlaEhbc
[2026-08-18T18:37:19.131+0000] {data_modification.py:83} INFO - Updated row with Video_ID: YVlWj1LCv54
[2026-08-18T18:37:19.135+0000] {data_modification.py:83} INFO - Updated row with Video_ID: UCLWX5U3zz8
[2026-08-18T18:37:19.138+0000] {data_modification.py:83} INFO - Updated row with Video_ID: qt2XslRMOto
[2026-08-18T18:37:19.142+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Gef8kiZSq3U
[2026-08-18T18:37:19.146+0000] {data_modification.py:83} INFO - Updated row with Video_ID: sX6gEwH-SA4
[2026-08-18T18:37:19.149+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 3UPny7Ll9q0
[2026-08-18T18:37:19.153+0000] {data_modification.py:83} INFO - Updated row with Video_ID: mbUXjgUNC9A
[2026-08-18T18:37:19.157+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ZfMEVzUKlcU
[2026-08-18T18:37:19.161+0000] {data_modification.py:83} INFO - Updated row with Video_ID: AozQaJkIVjo
[2026-08-18T18:37:19.164+0000] {data_modification.py:83} INFO - Updated row with Video_ID: SqZlk5PMlbg
[2026-08-18T18:37:19.168+0000] {data_modification.py:83} INFO - Updated row with Video_ID: umY8puBmIFE
[2026-08-18T18:37:19.171+0000] {data_modification.py:83} INFO - Updated row with Video_ID: I1hE85KMXYY
[2026-08-18T18:37:19.175+0000] {data_modification.py:83} INFO - Updated row with Video_ID: vJzN2GcR6O0
[2026-08-18T18:37:19.178+0000] {data_modification.py:83} INFO - Updated row with Video_ID: q1hvfs-VL5U
[2026-08-18T18:37:19.182+0000] {data_modification.py:83} INFO - Updated row with Video_ID: X6wtL19fxmg
[2026-08-18T18:37:19.185+0000] {data_modification.py:83} INFO - Updated row with Video_ID: gtTSk4RdZfc
[2026-08-18T18:37:19.189+0000] {data_modification.py:83} INFO - Updated row with Video_ID: U1NsJu_dJ_Q
[2026-08-18T18:37:19.192+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ttTr-QWH7hU
[2026-08-18T18:37:19.196+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 8LCrf5849AA
[2026-08-18T18:37:19.199+0000] {data_modification.py:83} INFO - Updated row with Video_ID: L60PCbrIjqk
[2026-08-18T18:37:19.203+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 23dbj3silMU
[2026-08-18T18:37:19.206+0000] {data_modification.py:83} INFO - Updated row with Video_ID: iL8ER1H4bs0
[2026-08-18T18:37:19.210+0000] {data_modification.py:83} INFO - Updated row with Video_ID: FGHUDxPrYos
[2026-08-18T18:37:19.213+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rb9536WrfDA
[2026-08-18T18:37:19.217+0000] {data_modification.py:83} INFO - Updated row with Video_ID: _drpwj1kfBI
[2026-08-18T18:37:19.220+0000] {data_modification.py:83} INFO - Updated row with Video_ID: kKnHSAJ3Vus
[2026-08-18T18:37:19.224+0000] {data_modification.py:83} INFO - Updated row with Video_ID: RZiQipNLX_k
[2026-08-18T18:37:19.228+0000] {data_modification.py:83} INFO - Updated row with Video_ID: w9TAdQxshhg
[2026-08-18T18:37:19.231+0000] {data_modification.py:83} INFO - Updated row with Video_ID: gSiClsQnsaQ
[2026-08-18T18:37:19.234+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7fsb6ZESyzE
[2026-08-18T18:37:19.239+0000] {data_modification.py:83} INFO - Updated row with Video_ID: NpqFaS2T0Sg
[2026-08-18T18:37:19.243+0000] {data_modification.py:83} INFO - Updated row with Video_ID: aXgv77_yj2M
[2026-08-18T18:37:19.246+0000] {data_modification.py:83} INFO - Updated row with Video_ID: D4VJ9LW1Ypw
[2026-08-18T18:37:19.250+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 3dqWCppVKCU
[2026-08-18T18:37:19.253+0000] {data_modification.py:83} INFO - Updated row with Video_ID: GB613J8JG5U
[2026-08-18T18:37:19.257+0000] {data_modification.py:83} INFO - Updated row with Video_ID: U0RCgj1XvSk
[2026-08-18T18:37:19.260+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9Gr5RCoseGw
[2026-08-18T18:37:19.264+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Uw1GCN_rz2A
[2026-08-18T18:37:19.268+0000] {data_modification.py:83} INFO - Updated row with Video_ID: pIAAJzElidg
[2026-08-18T18:37:19.272+0000] {data_modification.py:83} INFO - Updated row with Video_ID: re2glO6__Dg
[2026-08-18T18:37:19.276+0000] {data_modification.py:83} INFO - Updated row with Video_ID: vFrkf8WyJVc
[2026-08-18T18:37:19.280+0000] {data_modification.py:83} INFO - Updated row with Video_ID: n21Fns_hsI4
[2026-08-18T18:37:19.284+0000] {data_modification.py:83} INFO - Updated row with Video_ID: _baDbB8jUY0
[2026-08-18T18:37:19.287+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rcxao2sgExE
[2026-08-18T18:37:19.290+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7DmnXvWmOfE
[2026-08-18T18:37:19.294+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rdOENTn7RLQ
[2026-08-18T18:37:19.297+0000] {data_modification.py:83} INFO - Updated row with Video_ID: JEN3vtVadqE
[2026-08-18T18:37:19.300+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Q0-su2NRmms
[2026-08-18T18:37:19.304+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 5suNXiI1vjQ
[2026-08-18T18:37:19.308+0000] {data_modification.py:83} INFO - Updated row with Video_ID: GmbS0E2q98M
[2026-08-18T18:37:19.312+0000] {data_modification.py:83} INFO - Updated row with Video_ID: wQPCRXV-SMc
[2026-08-18T18:37:19.315+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ZDr9-jZavd0
[2026-08-18T18:37:19.319+0000] {data_modification.py:83} INFO - Updated row with Video_ID: -MzmomicG-w
[2026-08-18T18:37:19.322+0000] {data_modification.py:83} INFO - Updated row with Video_ID: JZ5pYus_i-E
[2026-08-18T18:37:19.326+0000] {data_modification.py:83} INFO - Updated row with Video_ID: U_tKz2--CNw
[2026-08-18T18:37:19.329+0000] {data_modification.py:83} INFO - Updated row with Video_ID: s-Mb0owDp-M
[2026-08-18T18:37:19.335+0000] {data_modification.py:83} INFO - Updated row with Video_ID: x_YKMjhvCuI
[2026-08-18T18:37:19.339+0000] {data_modification.py:83} INFO - Updated row with Video_ID: wxkQrtYKofc
[2026-08-18T18:37:19.342+0000] {data_modification.py:83} INFO - Updated row with Video_ID: m46vU8_Z_TU
[2026-08-18T18:37:19.345+0000] {data_modification.py:83} INFO - Updated row with Video_ID: FOShWdqVbeI
[2026-08-18T18:37:19.351+0000] {data_modification.py:83} INFO - Updated row with Video_ID: N1tsv3Cd3y0
[2026-08-18T18:37:19.355+0000] {data_modification.py:83} INFO - Updated row with Video_ID: qrz1ANz2hgA
[2026-08-18T18:37:19.362+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Jle_idA-_CI
[2026-08-18T18:37:19.365+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 07GiK7JpgWM
[2026-08-18T18:37:19.368+0000] {data_modification.py:83} INFO - Updated row with Video_ID: zx3J1Z5JEcs
[2026-08-18T18:37:19.371+0000] {data_modification.py:83} INFO - Updated row with Video_ID: FdJn8GtmciU
[2026-08-18T18:37:19.377+0000] {data_modification.py:83} INFO - Updated row with Video_ID: t0ZYA4-_XCs
[2026-08-18T18:37:19.380+0000] {data_modification.py:83} INFO - Updated row with Video_ID: zaDMDLQB3RE
[2026-08-18T18:37:19.400+0000] {data_modification.py:83} INFO - Updated row with Video_ID: OMig8byHT0g
[2026-08-18T18:37:19.407+0000] {data_modification.py:83} INFO - Updated row with Video_ID: yhkwU_8nzcc
[2026-08-18T18:37:19.411+0000] {data_modification.py:83} INFO - Updated row with Video_ID: kCZdE_zfZf0
[2026-08-18T18:37:19.414+0000] {data_modification.py:83} INFO - Updated row with Video_ID: mGpaIjdRDdw
[2026-08-18T18:37:19.417+0000] {data_modification.py:83} INFO - Updated row with Video_ID: INfL9UeWkfg
[2026-08-18T18:37:19.424+0000] {data_modification.py:83} INFO - Updated row with Video_ID: hJZ43EXfUDA
[2026-08-18T18:37:19.431+0000] {data_modification.py:83} INFO - Updated row with Video_ID: YjMIEulKtx4
[2026-08-18T18:37:19.434+0000] {data_modification.py:83} INFO - Updated row with Video_ID: VAtgcFtqIqw
[2026-08-18T18:37:19.439+0000] {data_modification.py:83} INFO - Updated row with Video_ID: S_9eF68GVEI
[2026-08-18T18:37:19.443+0000] {data_modification.py:83} INFO - Updated row with Video_ID: XN3VW6rUlLE
[2026-08-18T18:37:19.447+0000] {data_modification.py:83} INFO - Updated row with Video_ID: UtQmQYSTQ1c
[2026-08-18T18:37:19.451+0000] {data_modification.py:83} INFO - Updated row with Video_ID: LuE8IZarvMc
[2026-08-18T18:37:19.455+0000] {data_modification.py:83} INFO - Updated row with Video_ID: UgKt9bI0p7g
[2026-08-18T18:37:19.459+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ZiiSoLb7WvU
[2026-08-18T18:37:19.463+0000] {data_modification.py:83} INFO - Updated row with Video_ID: loggLZ4Gs60
[2026-08-18T18:37:19.467+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Tq_h9XvND8s
[2026-08-18T18:37:19.470+0000] {data_modification.py:83} INFO - Updated row with Video_ID: cwg7LzVc1BE
[2026-08-18T18:37:19.474+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ZOU-ekl1H9M
[2026-08-18T18:37:19.477+0000] {data_modification.py:83} INFO - Updated row with Video_ID: eN3pFGLYXDA
[2026-08-18T18:37:19.480+0000] {data_modification.py:83} INFO - Updated row with Video_ID: F1VGhCbn-Dk
[2026-08-18T18:37:19.483+0000] {data_modification.py:83} INFO - Updated row with Video_ID: -heydX6ivVs
[2026-08-18T18:37:19.487+0000] {data_modification.py:83} INFO - Updated row with Video_ID: dREGcZFpBZk
[2026-08-18T18:37:19.490+0000] {data_modification.py:83} INFO - Updated row with Video_ID: nEZc0_IhFlQ
[2026-08-18T18:37:19.494+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Y-uaajHkbh8
[2026-08-18T18:37:19.497+0000] {data_modification.py:83} INFO - Updated row with Video_ID: JaXo8o6Pk08
[2026-08-18T18:37:19.500+0000] {data_modification.py:83} INFO - Updated row with Video_ID: x5lkswNc1Wc
[2026-08-18T18:37:19.503+0000] {data_modification.py:83} INFO - Updated row with Video_ID: R878NxqapRA
[2026-08-18T18:37:19.507+0000] {data_modification.py:83} INFO - Updated row with Video_ID: tRDN-MEJdho
[2026-08-18T18:37:19.510+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 05g8p2CDayI
[2026-08-18T18:37:19.513+0000] {data_modification.py:83} INFO - Updated row with Video_ID: d0lw6NABcxE
[2026-08-18T18:37:19.517+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Ga-5vbe6OCU
[2026-08-18T18:37:19.524+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rMvHPSJywWY
[2026-08-18T18:37:19.527+0000] {data_modification.py:83} INFO - Updated row with Video_ID: TD-1xFts04M
[2026-08-18T18:37:19.530+0000] {data_modification.py:83} INFO - Updated row with Video_ID: lRjZiOAtmQE
[2026-08-18T18:37:19.534+0000] {data_modification.py:83} INFO - Updated row with Video_ID: -iEwd-caPiQ
[2026-08-18T18:37:19.538+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7p92MFHMmUs
[2026-08-18T18:37:19.541+0000] {data_modification.py:83} INFO - Updated row with Video_ID: D3Fekckw9S0
[2026-08-18T18:37:19.544+0000] {data_modification.py:83} INFO - Updated row with Video_ID: JGC3_S9ZrRk
[2026-08-18T18:37:19.548+0000] {data_modification.py:83} INFO - Updated row with Video_ID: tdD3dPp2dbc
[2026-08-18T18:37:19.552+0000] {data_modification.py:83} INFO - Updated row with Video_ID: --FjBwCYwM4
[2026-08-18T18:37:19.555+0000] {data_modification.py:83} INFO - Updated row with Video_ID: gC8hO8fyFGk
[2026-08-18T18:37:19.559+0000] {data_modification.py:83} INFO - Updated row with Video_ID: XSakz034hio
[2026-08-18T18:37:19.562+0000] {data_modification.py:83} INFO - Updated row with Video_ID: PHKqlwL0xg8
[2026-08-18T18:37:19.566+0000] {data_modification.py:83} INFO - Updated row with Video_ID: rAlYj2PdwiM
[2026-08-18T18:37:19.569+0000] {data_modification.py:83} INFO - Updated row with Video_ID: usmu9LUPhfw
[2026-08-18T18:37:19.572+0000] {data_modification.py:83} INFO - Updated row with Video_ID: zcEU9UxE8ss
[2026-08-18T18:37:19.576+0000] {data_modification.py:83} INFO - Updated row with Video_ID: PUUcXsf1l4w
[2026-08-18T18:37:19.579+0000] {data_modification.py:83} INFO - Updated row with Video_ID: khZ8WyYuSao
[2026-08-18T18:37:19.582+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Td4wlQcIDTY
[2026-08-18T18:37:19.586+0000] {data_modification.py:83} INFO - Updated row with Video_ID: etgQjtdNEtc
[2026-08-18T18:37:19.597+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ugtBVLLzIg4
[2026-08-18T18:37:19.600+0000] {data_modification.py:83} INFO - Updated row with Video_ID: uSc1wDvZeWw
[2026-08-18T18:37:19.604+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7H7RKqSmRc4
[2026-08-18T18:37:19.607+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 90lLQVZe2Nc
[2026-08-18T18:37:19.611+0000] {data_modification.py:83} INFO - Updated row with Video_ID: DFPYpMXG21w
[2026-08-18T18:37:19.615+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Tpsh3qUaaKc
[2026-08-18T18:37:19.618+0000] {data_modification.py:83} INFO - Updated row with Video_ID: fOr6DbfRP1k
[2026-08-18T18:37:19.622+0000] {data_modification.py:83} INFO - Updated row with Video_ID: g_27766gCE4
[2026-08-18T18:37:19.626+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 8pFVGR-9SLk
[2026-08-18T18:37:19.633+0000] {data_modification.py:83} INFO - Updated row with Video_ID: d7ZYuRglhvw
[2026-08-18T18:37:19.639+0000] {data_modification.py:83} INFO - Updated row with Video_ID: uTJhC9sZp-c
[2026-08-18T18:37:19.644+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Tbz35Mc8pzE
[2026-08-18T18:37:19.648+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9QXCkMTbrSk
[2026-08-18T18:37:19.652+0000] {data_modification.py:83} INFO - Updated row with Video_ID: V1synzyOknI
[2026-08-18T18:37:19.657+0000] {data_modification.py:83} INFO - Updated row with Video_ID: jTbePZRfntY
[2026-08-18T18:37:19.661+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Z3_qBGrDNDY
